	skey	rstrt_nm	keywords
153	396	망경식육식당	맛집 진주 식당 식육 소고기 곱창전골 등심 망경동 인분 주물럭 주시 개인 밀면 바로 방법 부위 사람 상호 조금 주물
154	406	강가명가(진주본점)	맛집 추천 사천 진주 정촌 경상대 문산 배달 하대동 김밥 방법 아시 확인 가좌동 개인 국수 김치찌개 돼지 막국수 밀면
155	407	홍제원	진주 게시판 경우 고기 먹거리 이용 포함 홍제 갈비탕 검색 게시 공유 관계자 규칙 그냥 금지 나름 내용 농사 덕분
156	408	어미정	모임 저녁 정도 추천 곳초 구성원 다른 메뉴 아시 전동 한정식 혹시
157	409	뚱보화로불고기 평거점	해루 대하 먹방 모임 동의 면책 본인 참가 간주 건강 것임 결과 경상남도 귀속 날인 놀이 대한 리스 모두 모집
158	410	(주)엠비씨컨벤션진주	진주 스튜디오 사진 촬영 가족사진 웨딩 재아 돌상 컨벤션 프리미엄 스냅 창원 당신 엠비씨 마산 성장 아기사진 웨딩홀 인물 돌잔치
159	414	감나무집	진주 진짜 감나무 경상남도 고기 먹기 방문 수육 식당 어르신 오리 위치
160	417	두루춘풍	불고기 두루치기 불맛 불향 정식 갑자기 반찬 볶음 석쇠 음식점 제육 진주 추천
161	418	진주냉면(상대동)	진주 국밥 만족 발견 식당 태양 피순대
162	422	남옥식당	추천 통영 남해 거제 거제도 네이버 독일 마을 맛집 명절 바람 아이 언덕 예정 외도 이번 정도 찌집 카페 케이블카
163	423	미주뚝배기	한식 경기도 서울특별시 식당 제주도 충청남도 칼국수 강원도 경상남도 고양시 짬뽕 대구광역시 전라북도 곱창 중식 제주시 부산광역시 국수 광주 일식
164	424	자연채한정식	통영 검사 바다 사람 시장 언덕 마을 먹방 식당 진미 진영 쪽빛 가게 골목 관광객 구안 구이 국물 길이 내전
165	425	서울식당	일정 투어 개인 경상남도 고자 대해 등등 라이더 려고 맛집 모든 부산 숙소 순천 어디가 연휴 장소 조언 참고 출발
166	426	새풍화식당	통영 가성 손님 정말 회원 횟집
167	428	고성곱창	고성 곱창 통영 곱창전골 맛집 어제 저녁 볶음밥 대장금 도리 만석 맛나 문답 설마 소개 시간 오늘 이벤트 일도 전골
168	429	거구장	거제 맛집 통영 추천
169	430	은혜갈비	갈비탕 갈비 국물 날씨 맛집 언제 여기 은혜
170	436	한려숯불갈비	구함 서빙 갈비 결정 근무시간 급여 다리 면접 바로가기 서호동 숯불 해방 음식점 백년 점포 주방 호점 가게 가능성 가운데
171	437	수정식당	직영 인천 맛집 논현동 거제도 곱창 논현역 브라운 식당 추천 통영 개인 논현 발라 본점 부추 생각 설렁탕 수정 여행
172	439	향토집	사랑 횟집 노래 매운탕 문의 전화 가게 갈비탕 고향 방송 베리 식당 연락처 예약 요리 이용 전통 진주 대청면 돼지
173	444	진우숯불갈비	통영 점심 추천 맛집 인분 고기 라면 오늘 찌개 가족 갈비 네이버 대표 동태 만원 불고기 사리 식당 이벤트 일요일
174	445	통영참복	식당 강원도 제주도 전라남도 횟집 한우 구이 서귀포시 장어 부산광역시 전통 맛집 경상북도 전라북도 한정식 막국수 비빔밥 경상남도 떡갈비 요리
175	446	천지연횟집	거제 변산 맛집 여행 이번 추천 회식 횟집 건강 공유 관리 근처 날씨 내일 노벨 노캄 숙소 예약 주말 코스
176	456	용화찜	통영 거제 아구찜 진주 맛집 여행 추천 욕지도 코스 혹시 그릴 냉면 뉴스 더선셋 리오 매운탕 먹방 메뉴 모시 배달
177	463	모이세삼겹살	삼겹살 이세 통영 나물 낙지 무전동 반찬 볶음
178	464	대가한우촌(무전동)	무전동 인근 전세 원룸 포함 관리 운영 대가 부동산 북신동 쓰리룸 우촌 위치 입구 죽림 게시 근처 에어컨 엘베 옵션
179	466	엄마손충무김밥	주문 맛집 문의 보기 순대 배달 상세 통영 경상남도 사진 닭갈비 떡볶이 식당 양념 음식 통영시 게장 김밥 엄마 여행
180	470	남강식당	사건 총기 근처 남강 뭣때문 스톡홀름 시내 식당 코로나
181	472	조바우가마솥추어탕	추어탕 전라도 가마솥 경상남도 경상도 광도면 길찾기 남원 돈까스 된장 마창진 법원 보기 본점 인지 죽림리 추천 치즈 크게 통영
182	478	항남뚝배기	뚝배기 정보 통영 김제시 생생 직원 항남 방송 전북 갈비 산낙지 전골 전통 구함 전화 가게 고향 낙지 맛집 문의
183	480	통영생선구이	한식 경기도 통영 생선 구이 서울특별시 식당 경상남도 제주도 충청남도 칼국수 맛집 강원도 고양시 대구광역시 짬뽕 천상 전라북도 곱창 남해
184	485	진주집(사천)	가입 버블 본인 생년 인사 좌욕기 진주 가염 간편 개인 건강 건전지 닉네임 무선 방식 사천 사항 설명 성별 신영
